Aholming transmitter 	869 ft 	265 m 		Guyed Mast 	Aholming 	Bavaria 	48°43′50.55″N 12°55′47.04″E  ; 48°43′38.46″N 12°56′2.06″E 	2 masts
Central masts Nauen 	853 ft 	260 m 	1920 	Guyed Mast 	Nauen 	Brandenburg 	52°38′56″N 12°54′30″E 	dismantled in 1945
Commerzbank Tower 	850 ft 	259 m 	1997 	Skyscraper 	Frankfurt/Main 	Hesse 	50°6′40.26″N 8°40′27.08″E 	
Transmitter Dannenberg 	846 ft 	258 m 		Guyed Mast 	Dannenberg 	Lower Saxony 	53°3′55.7″N 10°53′49.91″E 	
Messeturm 	843 ft 	257 m 	1990 	Skyscraper 	Frankfurt/Main 	Hesse 	50°6′44.51″N 8°39′10.07″E 	
longwave transmitter Erching 	840 ft 	256 m 	1953 	Guyed Mast 	Erching 	Bavaria 	48°18′11.29″N 11°43′13.63″E 	dismantled
Moorburg Power Station Chimney 	840 ft 	256 m 	1974 	Chimney 	Hamburg 	Hamburg 	53°29′20″N 9°56′59″E 	demolished; at its demolition by explosives on April 24, 2004 further damages occurred, because debris flew on other tracks as calculated
Fernmeldeturm Kühkopf 	837 ft 	255 m 	1975 	Tower 	Koblenz-Kühkopf 	Rhineland-Palatinate 	50°18′32.15″N 7°34′10.33″E 	
Fernsehturm Dresden-Wachwitz 	827 ft 	252 m 	1969 	Tower 	Dresden 	Saxony 	51°2′24.11″N 13°50′19.93″E 	
Central Mast Eilvese 	820 ft 	250 m 	1913 	Guyed Mast 	Eilvese 	Lower-Saxony 	52°31′40″N 9°24′24″E 	demolished in 1931
Chimney of Voerde Power Station 	820 ft 	250 m 	1982 	Chimney 	Voerde 	Northrhine-Westphalia 	51°34′37.65″N 6°40′53.19″E 	
Chimney Grosskrotzenburg Power Station 	820 ft 	250 m 		Chimney 	Großkrotzenburg 	Hessen 	50°5′17.76″N 8°57′5.97″E 	
Chimney Lünen Power Station 	820 ft 	250 m 		Chimney 	Lünen 	Northrhine-Westphalia 	51°36′50.79″N 7°28′53.12″E 	
Chimney of Unit 6 of Bremen-Hafen Power Station 	820 ft 	250 m 		Chimney 	Bremen 	Bremen 	53°7′29.54″N 8°43′43.11″E 	
Chimney of Altbach Power Station 	820 ft 	250 m 		Chimney 	Altbach 	Baden-Württemberg 	48°43′1.42″N 9°22′2.91″E ; 48°43′2.77″N 9°22′26.82″E 	
Chimney of Heilbronn Power Station 	820 ft 	250 m 		Chimney 	Heilbronn 	Baden-Württemberg 	49°10′31.91″N 9°12′27.19″E ; 49°10′29.67″N 9°12′26.47″E 	
Chimney of Hagenwerder Power Plant, Unit III 	820 ft 	250 m 	1972/73 	Chimney 	Görlitz/Hagenwerder 	Saxony 	51°3′42″N 14°56′55″E 	demolished by explosives on June 19, 1998
Chimney of Wilhelmshaven Power Station (E.ON) 	820 ft 	250 m 	1976 	Chimney 	Wilhelmshaven 	Lower Saxony 		
Chimneys Duisburg-Schwelgern 	820 ft 	250 m 		Chimneys 	Duisburg 	Nordrhein-Westfalen 	51°30′14.42″N 6°43′59.6″E ; 51°30′13.42″N 6°44′0.07″E 	
ERD-Chimney 	820 ft 	250 m 	1981 	Chimney 	Duisburg 	Nordrhein-Westfalen 	51°26′38″N 006°43′45″E 	demolished in 1997
Chimney Duisburg-Hochfeld 	820 ft 	250 m 		Chimney 	Duisburg 	Nordrhein-Westfalen 	51°25′20.16″N 6°44′21.48″E 	
Chimney of Mehrum Power Station 	820 ft 	250 m 		Chimney 	Hohenhameln 	Lower Saxony 	52°18′54.16″N 10°5′37.65″E 	
Chimney of Merkenich Heating Power Station 	820 ft 	250 m 		Chimney 	Cologne 	Northrhine-Westphalia 	51°01′5.03″N 6°57′52.14″E 	
Hamburg-Rahlstedt transmitter, new mast 	820 ft 	250 m 	2010 	Guyed mast 	Hamburg-Rahlstedt 	Hamburg 	53°37′33″N 10°11′45″E 	
Transmitter Berlin-Koepenick, main mast (J1-Mast) 	814 ft 	248 m 	1953 	Guyed Mast 	Berlin 	Berlin 	52°28′31″N 13°35′32″E 	insulated against ground, demolished
Transmitter Berlin-Koepenick, J2-Mast 	814 ft 	248 m 	1953 	Guyed Mast 	Berlin 	Berlin 	52°28′31″N 13°35′32″E 	grounded, dismantled in 1984 and rebuilt with reduced height (142.8 m) on site of transmitter Wachenbrunn
Naturstromspeicher Gaildorf 		246.5 m 	2017 	Wind turbine with integrated pumped storage 	Gaildorf 	Baden-Württemberg 	49.010275°N 9.796200°E (for one of four wind turbínes) 	178 metre hub height, rotor diameter 137 m, world's tallest wind turbine as of 2017
Rottweil Test Tower 		246 m 	2017 	ThyssenKrupp's Test Tower for elevators 	Rottweil 	Baden-Württemberg 		second highest test tower in the world
Transmitter Saarburg 	804 ft 	245 m 		Guyed Mast 	Saarburg 	Saarland 	49°37′43.41″N 6°36′47.48″E 	
Rostock-Krummendorf transmitter 	804 ft 	245 m 	construction 	Guyed Mast 	Mecklenburg-Western Pomerania 	Rostock 	54°07′46.04″N 12°07′34.47″E 	
Central Tower Königs Wusterhausen 	797 ft 	243 m 	1925 	Tower 	Königs Wusterhausen 	Brandenburg 	52°18′19″N 13°36′43″E 	collapsed on November 15, 1972
Chimney of Marl-Chemiepark Power Station II 	791 ft 	241 m 		Chimney 	Marl 	Northrhine-Westphalia 	51°41′4.4″N 7°5′59.62″E 	
